InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536847,22155,STAR DECORATION RUSTIC,48,2010-12-03 09:31:00,0.42,17135.0,United Kingdom
536847,21807,WHITE CHRISTMAS STAR DECORATION,36,2010-12-03 09:31:00,0.42,17135.0,United Kingdom
536847,22161,HEART DECORATION RUSTIC HANGING ,24,2010-12-03 09:31:00,0.65,17135.0,United Kingdom
536847,22065,CHRISTMAS PUDDING TRINKET POT ,24,2010-12-03 09:31:00,1.45,17135.0,United Kingdom
536847,20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,12,2010-12-03 09:31:00,1.25,17135.0,United Kingdom
536847,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,2010-12-03 09:31:00,2.55,17135.0,United Kingdom
536847,21231,SWEETHEART CERAMIC TRINKET BOX,24,2010-12-03 09:31:00,1.25,17135.0,United Kingdom
536847,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2010-12-03 09:31:00,1.25,17135.0,United Kingdom
536847,22067,CHOC TRUFFLE GOLD TRINKET POT ,24,2010-12-03 09:31:00,1.65,17135.0,United Kingdom
536848,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,80,2010-12-03 09:39:00,2.55,13408.0,United Kingdom
536848,21930,JUMBO STORAGE BAG SKULLS,100,2010-12-03 09:39:00,1.65,13408.0,United Kingdom
536848,21928,JUMBO BAG SCANDINAVIAN PAISLEY,100,2010-12-03 09:39:00,1.65,13408.0,United Kingdom
536849,22730,ALARM CLOCK BAKELIKE IVORY,19,2010-12-03 09:45:00,3.75,17396.0,United Kingdom
536849,22727,ALARM CLOCK BAKELIKE RED ,48,2010-12-03 09:45:00,3.75,17396.0,United Kingdom
536849,22728,ALARM CLOCK BAKELIKE PINK,39,2010-12-03 09:45:00,3.75,17396.0,United Kingdom
C536850,22942,CHRISTMAS LIGHTS 10 SANTAS ,-48,2010-12-03 09:47:00,7.65,14213.0,United Kingdom
C536850,22689,DOORMAT MERRY CHRISTMAS RED ,-50,2010-12-03 09:47:00,6.75,14213.0,United Kingdom
C536850,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,-50,2010-12-03 09:47:00,2.55,14213.0,United Kingdom
C536850,22580,ADVENT CALENDAR GINGHAM SACK,-48,2010-12-03 09:47:00,4.95,14213.0,United Kingdom
